step,value,wall_time
3000,926.299560546875,1729425678.3974266
3500,550.0543823242188,1729425683.1884274
4000,550.0543823242188,1729425687.734428
4500,483.8751525878906,1729425692.6179616
5000,483.8751525878906,1729425698.6726336
5500,483.8751525878906,1729425704.1246336
6000,483.8751525878906,1729425709.5276313
6500,483.8751525878906,1729425714.8756325
7000,574.7363891601562,1729425719.945634
7500,495.23046875,1729425725.2841449
8000,495.23046875,1729425730.4141443
8500,495.23046875,1729425735.4511445
9000,472.3846435546875,1729425741.3481445
9500,472.3846435546875,1729425746.3741448
10000,472.3846435546875,1729425751.2691429
10500,472.3846435546875,1729425756.3061454
11000,472.3846435546875,1729425761.2801447
11500,522.7007446289062,1729425766.5271447
12000,522.7007446289062,1729425771.2961452
12500,515.0970458984375,1729425776.9261432
13000,515.0970458984375,1729425781.5001433
13500,515.0970458984375,1729425786.0191429
14000,515.0970458984375,1729425790.5361426
14500,515.8624877929688,1729425795.234144
15000,481.9578857421875,1729425799.9731438
15500,481.9578857421875,1729425804.5981438
16000,469.1937255859375,1729425809.3081436
16500,444.34185791015625,1729425813.9911435
17000,444.34185791015625,1729425818.5501435
17500,444.34185791015625,1729425823.071143
18000,444.34185791015625,1729425827.5941448
18500,444.34185791015625,1729425832.1251426
19000,444.34185791015625,1729425836.699144
19500,444.34185791015625,1729425841.2451434
20000,444.34185791015625,1729425845.7721448
20500,444.34185791015625,1729425850.313145
21000,534.36083984375,1729425855.2331436
21500,508.65228271484375,1729425859.9091444
22000,508.65228271484375,1729425864.4271424
22500,492.75689697265625,1729425869.122144
23000,472.6451110839844,1729425873.8271446
23500,472.6451110839844,1729425878.3581467
24000,466.206298828125,1729425883.0551443
24500,466.206298828125,1729425887.579145
25000,460.7331848144531,1729425892.2771437
25500,460.7331848144531,1729425896.8111434
26000,460.7331848144531,1729425901.3401449
26500,459.8276672363281,1729425906.0441432
27000,459.8276672363281,1729425910.6111445
27500,455.4821472167969,1729425915.2951446
28000,455.4821472167969,1729425919.8131428
28500,455.4821472167969,1729425924.3391435
29000,455.13922119140625,1729425929.0261445
29500,455.13922119140625,1729425933.5921454
30000,455.13922119140625,1729425938.1251452
30500,455.13922119140625,1729425942.6421435
31000,455.13922119140625,1729425947.1621435
31500,455.13922119140625,1729425951.7201426
32000,455.13922119140625,1729425956.2671437
32500,455.13922119140625,1729425960.7901428
33000,455.13922119140625,1729425965.3151424
33500,455.13922119140625,1729425969.8911445
34000,455.13922119140625,1729425974.3921442
34500,515.2338256835938,1729425979.3471432
35000,515.2338256835938,1729425983.890143
35500,515.2338256835938,1729425988.4541438
36000,515.2338256835938,1729425992.9791443
36500,515.2338256835938,1729425997.5351436
37000,515.2338256835938,1729426002.0791426
37500,515.2338256835938,1729426006.668143
38000,541.4251708984375,1729426011.3891437
38500,526.1543579101562,1729426016.0651433
39000,526.1543579101562,1729426020.6601427
39500,519.1453857421875,1729426025.3691432
40000,506.04425048828125,1729426030.0611427
40500,506.04425048828125,1729426034.5881443
41000,506.04425048828125,1729426039.1691427
41500,506.04425048828125,1729426043.8371446
42000,506.04425048828125,1729426048.3741431
42500,506.04425048828125,1729426052.8901448
43000,506.04425048828125,1729426057.4631436
43500,506.04425048828125,1729426061.9931428
44000,506.04425048828125,1729426066.5971434
44500,506.04425048828125,1729426071.1651435
45000,506.04425048828125,1729426075.8111427
45500,506.04425048828125,1729426080.3351433
46000,506.04425048828125,1729426084.8691425
46500,506.04425048828125,1729426089.3911457
47000,572.4013671875,1729426094.2821481
47500,572.4013671875,1729426098.8031452
48000,564.4048461914062,1729426103.4871442
48500,551.20166015625,1729426108.1671448
49000,538.5272827148438,1729426112.8861425
49500,538.5272827148438,1729426117.4411423
50000,538.5272827148438,1729426121.9781444
50500,538.5272827148438,1729426126.506144
51000,538.5272827148438,1729426131.0711427
51500,549.775634765625,1729426135.7581427
52000,549.775634765625,1729426140.2731452
52500,549.775634765625,1729426144.7981448
53000,549.775634765625,1729426149.3811426
53500,549.775634765625,1729426153.9231436
54000,549.775634765625,1729426158.468143
54500,560.8570556640625,1729426163.1401436
55000,560.8570556640625,1729426167.7081442
55500,554.5364379882812,1729426172.4131432
56000,554.5364379882812,1729426176.948144
56500,548.7404174804688,1729426181.7241428
57000,538.2041625976562,1729426186.4131434
57500,538.2041625976562,1729426190.940143
58000,538.2041625976562,1729426195.6321435
58500,538.2041625976562,1729426200.4261446
59000,538.319091796875,1729426205.6161435
59500,531.0457153320312,1729426210.2491434
60000,531.0457153320312,1729426214.7611427
60500,531.0457153320312,1729426219.3321447
61000,531.0457153320312,1729426223.8821425
61500,531.0457153320312,1729426228.4451432
62000,539.5169677734375,1729426233.1501427
62500,539.5169677734375,1729426237.6811423
63000,533.8124389648438,1729426242.3711424
63500,533.8124389648438,1729426246.9131434
64000,533.8124389648438,1729426251.4731424
64500,533.8124389648438,1729426255.9971445
65000,533.8124389648438,1729426260.5151432
65500,540.9074096679688,1729426265.1941445
66000,531.9035034179688,1729426269.911143
66500,531.9035034179688,1729426274.468145
67000,525.604248046875,1729426279.1371434
67500,517.4489135742188,1729426283.9321434
68000,517.4489135742188,1729426288.4981434
68500,513.830078125,1729426293.1941435
69000,506.36865234375,1729426297.8401423
69500,506.36865234375,1729426302.3911433
70000,506.36865234375,1729426307.0391626
70500,506.36865234375,1729426311.5931628
71000,506.36865234375,1729426316.1091638
71500,513.8081665039062,1729426320.7781634
72000,513.8081665039062,1729426325.342162
72500,508.7533264160156,1729426330.0291631
73000,508.7533264160156,1729426334.558164
73500,505.7410888671875,1729426339.224162
74000,500.2702331542969,1729426343.969163
74500,500.2702331542969,1729426348.4991627
75000,500.2702331542969,1729426353.0191636
75500,500.2702331542969,1729426357.5411632
76000,500.2702331542969,1729426362.1151624
76500,500.2702331542969,1729426366.6741621
