"[  1   1   0   0   0   1   0   1   0   0   0   0   0   1   0   1   1   1
   0   0   0   0   1   0   0   1   0   0   1   1   0   0   0   1   1   1
   0   0   0   1   0   0   1   1   1   1   1   0   0   1   0   0   0   1
   1   1   1   1   0   0   0   1   1   0   1   0   1   1   1   0   0   1
   0   0   1   1   1   4   0 107 100   0   2   2   2   2   3   0   2   2
   0   2   0   1   2   0   3   0   2   1   0   0   3   1   3   1   2   1
   3   2   2   1   1   3   3   2   2   3   2   3   2   2   3   2   0   0
   3   2   0   3   3   2   2   3   0   0   3   1   2   1   0   0   1   0
   0   0   2   0   2   1   1   0   1   2   2   2   1   1   1   0   3  24
   8  31   3   1   3   2   2   2   3   0   1   1   3  24   3  16   0   0
  11   0   0   1   6   3]"
"[  1   1   0   1   0   1   0   0   0   0   0   0   0   1   0   1   1   1
   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   0   1   1
   0   0   0   0   0   0   1   1   0   1   1   1   1   0   0   1   0   1
   1   1   1   1   0   0   1   1   1   1   1   1   1   1   0   0   1   0
   0   0   1   1   1   4  40 149  93   0   0   2   3   2   1   1   3   1
   1   0   3   2   2   0   3   1   2   1   3   3   3   3   0   1   1   0
   3   2   2   3   0   2   3   1   2   3   0   3   3   0   3   0   0   0
   3   2   0   1   3   2   2   1   3   0   3   0   0   1   2   2   1   0
   0   0   1   0   2   0   2   0   1   2   2   2   1   1   1  28   1   6
  13  43   2   1   5   3   2   2   4   0   1   5   0  19   2  15   0   0
  15   0   2   0   7   3]"
"[  1   1   0   1   0   0   0   0   0   0   1   1   0   0   0   1   1   1
   1   1   0   1   1   1   0   1   0   0   1   0   0   0   0   0   1   0
   1   1   0   1   0   0   0   0   1   1   1   0   0   0   0   0   0   1
   1   1   1   0   1   1   0   1   1   1   1   1   0   0   1   1   1   0
   0   1   0   0   1  20   5 108 129   2   0   2   2   2   1   1   3   1
   2   0   3   2   2   0   3   1   2   1   2   0   3   1   3   1   3   0
   3   3   0   1   0   1   1   1   0   3   0   3   3   0   3   0   1   3
   0   3   2   0   0   1   2   1   3   0   3   3   2   1   2   2   1   1
   0   0   1   1   0   0   2   0   0   2   2   2   2   1   2   7   1  15
   8  10   3   1   2   3   3   2   4   0   1   1   0  23   4  45   0   0
  12   0   2   0   7   3]"
